ACTION_CONTRACT   ACTION_CONTRACT_BI;
COUNTRIES_MOVE_TIME   COUNTRIES_MOVE_TIME_BI;
COUNTRIES_TYPE_INFO   COUNTRIES_TYPE_INFO_BI;COUNTRIES_TYPE_INFO_LNG_BI;
COUNTRIES_TYPE_INFO_LNG   COUNTRIES_TYPE_INFO_LNG_BI;
COUNTRY_SECT_DESCRIPTS   COUNTRY_SECT_DESCRIPTS_BI;
COUNTRY_SECT_DESC_LNG   COUNTRY_SECT_DESC_LNG_BI;
COUNTRY_TEMPL_ADM_UNIT   COUNTRY_TEMPL_ADM_UNIT_BI;
CURRENCY   CURRENCY_AFTER_DELETE;CURRENCY_AFTER_INSERT;CURRENCYCOMMERCETRIGGER1;CURRENCYRATESTRIGGER1;CURRENCYTRIGGER1;CURRENCY_CHECK_DELETE;REPOSITS_AFTER_UPDATE;REPOSITS_BEFORE_INSERT;CURRENCY_BEFORE_UPDATE;CURRENCY_LNG_BI;
CURRENCYCOMMERCE   CURRENCY_AFTER_DELETE;CURRENCY_AFTER_INSERT;CURRENCYCOMMERCETRIGGER1;CURRENCY_BEFORE_UPDATE;
CURRENCYRATES   CURRENCY_AFTER_DELETE;CURRENCY_AFTER_INSERT;CURRENCYRATESTRIGGER1;CURRENCY_BEFORE_UPDATE;
CURRENCY_LNG   CURRENCY_LNG_BI;
DICTSECTIONS   DICTSECTIONS_BI;DICTSECTIONS_LNG_BI;
DICTSECTIONS_LNG   DICTSECTIONS_LNG_BI;
DICTSECTION_ITEMS   DICTSECTION_ITEMS_BI;DICTSECTIONS_AD0;DICTSECTION_ITEMS_LNG_BI;
DICTSECTION_ITEMS_LNG   DICTSECTION_ITEMS_LNG_BI;
DISCOUNT_CATEGORY   DISCOUNT_CATEGORY_BI;
DOCUMMISMATCH   DOCUMMISMATCH_BI;NAMELISTS_CHECH_DELETE;
DRIVE   DRIVE_AFTERDELETE;DRIVE_AFTERINSERT;DRIVE_BEFOREUPDATE;DRIVE_CHECK_DELETE;DRVKINDS_CHECK_DELETE;LEAVINGS_BEFOREUPDATE;TRANSROUTES_NEWREC_TRIG;DRIVETRIGGER1;DRVKINDSTRIGGER1;LEAVINGDRIVERS_BI;DRIVENOTES_BI;CHECK_271;CHECK_272;DRIVE_AFTER_UPDATE;DRVIMAGESTRIGGER1;CHECK_311;CHECK_312;DRVIMAGES_AFTER_INSERT;DRVIMAGES_AFTER_UPDATE;DRVIMAGES_BEFORE_INSERT;DRVIMAGES_BEFORE_UPDATE;DRVVENDORSTRIGGER1;COUNTRIES_CHECK_DELETE;LEAVINGS_AU0;DRIVEEUROCLASS_BI;
DRIVEEUROCLASS   DRIVEEUROCLASS_BI;
DRIVENOTES   DRIVENOTES_BI;
DRVIMAGES   DRVIMAGESTRIGGER1;DRVIMAGES_AFTER_INSERT;DRVIMAGES_AFTER_UPDATE;DRVIMAGES_BEFORE_INSERT;DRVIMAGES_BEFORE_UPDATE;
DRVKINDS   DRVKINDSTRIGGER1;
DRVMAPS   DRIVE_AFTERDELETE;DRIVE_AFTERINSERT;DRIVE_BEFOREUPDATE;DRVMAPSTRIGGER1;
DRVSERVLINKS   SERVICES_CHECK_DELETE;DRVSERVLINKSTRIGGER1;CURRENCY_CHECK_DELETE;SERVICES_AFTER_UPDATE;
DRVVENDORS   DRIVE_AFTERDELETE;CHECK_271;CHECK_272;DRVVENDORSTRIGGER1;
EMAILAUDITATTACHS   EMAILAUDITATTACHSTRIGGER1;
EMAILAUDITITEMS   EMAILAUDITITEMSTRIGGER1;
EMAILAUDITS   EMAILTHEMES_CHECK_DELETE;EMAILAUDITSTRIGGER1;EMAILTHEMESTRIGGER1;
EMAILGROUPITEMS   COMPOFFICES_BEFORE_DELETE;EMAILS_AFTER_UPDATE;EMAILGROUPS_AFTER_DELETE;EMAILGROUPITEMSTRIGGER1;COMPANIES_BEFORE_DELETE;
EMAILGROUPS   EMAILGROUPSTRIGGER1;
EMAILJOURNAL   EMAILJOURNAL_BI;
EMAILS   COMPOFFICES_BEFORE_DELETE;COMPEMAILS_AFTER_DELETE;COMPEMAILS_AFTER_INSERT;COMPEMAILS_AFTER_UPDATE;COMPEMAILS_BEFORE_UPDATE;EMAILS_CHECK_DELETE;EMAILGROUPS_AFTER_DELETE;COMPEMAILSTRIGGER1;EMAILGROUPSTRIGGER1;EMAILSTRIGGER1;COMPANIES_BEFORE_DELETE;
EMPLOY_DISMISS_REASONS   EMPLOY_DISMISS_REASONS_BI;
EXCURSION   EXCURSIONTRIGGER1;CURRENCY_CHECK_DELETE;EXCURSION_CHECK_DELETE;CITIEST_CHECK_DELETE;EXCURSION_LNG_BI;EXCURSION_PLACE_BI;EXCURSION_PLACE_LNG_BI;
EXCURSION_LNG   EXCURSION_LNG_BI;
EXCURSION_PLACE   EXCURSION_PLACE_BI;EXCURSION_PLACE_LNG_BI;
EXCURSION_PLACE_LNG   EXCURSION_PLACE_LNG_BI;
EXCURSSHABLONDETAILS   EXCURSSHABLONDETAILS_AD0;EXCURSSHABLONDETAILS_BI;EXCURSSHABLONTYPES_BD0;
EXCURSSHABLONS   EXCURSSHABLONS_BI;EXCURSSHABLONS_AD0;
EXCURSSHABLONTYPES   EXCURSSHABLONTYPES_BI;
EXCURS_CITY_LINKS   EXCURS_CITY_LINKS_BI;
EXCURS_LAYOUT_DESCRIPT   EXCURS_LAYOUT_DESCRIPT_BI;
EXCURS_TYPE_CONTENT   EXCURS_TYPE_CONTENT_BI;EXCURS_TYPE_CONTENT_LNG_BI;
EXCURS_TYPE_CONTENT_LNG   EXCURS_TYPE_CONTENT_LNG_BI;
EXCURS_TYPE_TRIP   EXCURS_TYPE_TRIP_BI;EXCURS_TYPE_TRIP_LNG_BI;
EXCURS_TYPE_TRIP_LNG   EXCURS_TYPE_TRIP_LNG_BI;
EXCVENDORS   EXCURSION_AFTER_DELETE;EXCVENDORSTRIGGER1;
FAILLOG   FAILLOG_BI;
FAXES   FAXES_TRIGGER_ID;
FAXSLOGS   FAXSLOGS_TRIGGER_ID;
FAX_FILES   FAX_FILES_TRIGGER_ID;
FEEDTYPES   NEWFEED;FEEDTYPES_LNG_BI;
FEEDTYPES_LNG   FEEDTYPES_LNG_BI;
FORM_GOVERNMENT   FORM_GOVERNMENT_BI;FORM_GOVERNMENT_LNG_BI;
FORM_GOVERNMENT_LNG   FORM_GOVERNMENT_LNG_BI;
FRANCIASE   FRANCIASETRIGGER1;
HBLDSERVLNK   SERVICES_CHECK_DELETE;CURRENCY_CHECK_DELETE;SERVICES_AFTER_UPDATE;HBLDSERVLNKTRIGGER1;
HOTELCLASS   HOTELCLASS_BI;HOTELCLASS_LNG_BI;
HOTELCLASS_LNG   HOTELCLASS_LNG_BI;
HOTELKIND   NAMELISTS_CHECH_DELETE;HOTELKIND_BI;HOTELKIND_LNG_BI;
HOTELKIND_LNG   HOTELKIND_LNG_BI;
HOTELS   HOTELS_LNG_BI;PERSVISAHOTELS_BI0;HOTELS_BEFOREDELETE;HTLCATEG_CHECK_DELETE;HTLGRPS_CHECK_DELETE;HOTELSTRIGGER1;PERSVISAS_AU1;COMPANIES_CHECK_DELETE;HTLROOMING_AFTER_UPDATE;HOTELS_CHECK_DELETE;NAMELISTS_CHECH_DELETE;CITIEST_CHECK_DELETE;COUNTRIES_CHECK_DELETE;
HOTELS_LNG   HOTELS_LNG_BI;
HOTEL_BUILDS   HOTELS_AFTERINSERT;HOTEL_BUILDS_BI;HOTEL_BUILDS_LNG_BI;
HOTEL_BUILDS_LNG   HOTEL_BUILDS_LNG_BI;
HR_AGES   HR_AGES_BEFORE_INSERT;HR_RATES_AFTERDELETE;HR_AGES_CHECK_DELETE;
HR_BERTH   HR_BERTH_BEFORE_INSERT;HR_RATES_AFTERDELETE;HR_BERTH_CHECK_DELETE;
HR_DETAILS   HTLROOMS_CHECK_DELETE;HR_DETAILS_BEFORE_INSERT;HR_RATES_AFTERDELETE;HR_AGES_CHECK_DELETE;HR_BERTH_CHECK_DELETE;HR_SEASONS_CHECK_DELETE;
HR_FORMULAS   HR_RATES_AFTERDELETE;HR_FORMULAS_BEFORE_INSERT;
HR_PENALTIES   HR_SEASONS_AFTER_DELETE;HR_PENALTIES_BEFORE_INSERT;
HR_RATES   HR_RATES_BEFORE_INSERT;HOTELS_CHECK_DELETE;HTLVENDORS_CHECK_DELETE;
HR_SEASONS   HR_RATES_AFTERDELETE;HR_SEASONS_BEFORE_INSERT;HR_SEASONS_CHECK_DELETE;
HTLBUILDS   HOTELS_AFTERDELETE;HTLBUILDS_CHECK_DELETE;HTLBUILDSTRIGGER1;NAMELISTS_CHECH_DELETE;HOTELS_AFTERINSERT;
HTLCATEG   HTLCATEG_CHECK_DELETE;HTLCATEGTRIGGER1;
HTLCOMMTRANSLATE   HTLCOMMTRANSLATE_BI;
HTLDOCUMENTS   HOTELS_AFTERDELETE;HTLDOCUMENTSTRIGGER1;HTLDOCUMENTS_AFTER_INSERT;HTLDOCUMENTS_AFTER_UPDATE;
HTLFOODTYPES   HTLFOODTYPESTRIGGER1;
HTLGRPS   HTLGRPS_CHECK_DELETE;HTLGRPSTRIGGER1;
HTLIMAGES   HOTELS_AFTERDELETE;HTLIMAGESTRIGGER1;HTLIMAGES_AFTER_INSERT;HTLIMAGES_BEFORE_UPDATE;HTLIMAGES_BEFORE_INSERT;HTLROOMS_AFTER_DELETE;HTLIMAGES_AFTER_UPDATE;
HTLROOMBEDS   HTLROOMBEDS_BI;BEDTYPES_BD0;HTLROOMVARIANTS_AD0;BEDTYPES_BU0;
HTLROOMING   HTLROOMMAPS_BEFORE_DELETE;HTLROOMING_BEFORE_UPDATE;HTLROOMS_CHECK_DELETE;PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;HTLROOMINGTRIGGER1;CURRENCY_CHECK_DELETE;COMPANIES_CHECK_DELETE;ORDERS_BEFORE_DELETE;HOTELS_CHECK_DELETE;HTLVENDORS_CHECK_DELETE;SERVCOSTS_AFTER_UPDATE;SERVCOSTS_AFTER_INSERT;NAMELISTS_CHECH_DELETE;
HTLROOMMAPS   HTLROOMMAPSTRIGGER1;
